date,product_id,product_name,category,business_type,unit_of_measure,opening_stock,units_sold,shrinkage_units,units_restocked,closing_stock,unit_cost_kes,selling_price_kes,supplier_name,supplier_county,supplier_lead_days,reorder_level,is_holiday,is_weekend
2026-04-30,PRD014,DAP Fertiliser 50kg,Fertilisers,Agrovet,bag,36.0,16.0,1,32,51,3800,,MEA Fertilisers,Nairob,7,5,0,0
2024-06-24,PRD008,Royco Mchuzi Mix 75g,seasonings,Mini Sup.,pck,24.0,2.0,3,0,19,42,55.0,Unilever Kenya,nairobi,3,35,0,0
2024-11-11,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,piece,52.0,15.0,1,53,89,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
2025-01-07,PRD002,Pembe Unga 1kg,Flour & Grains,Mini Supermarket,Bag,43.0,10.0,1,0,32,78,95.0,Unga Ltd Nairobi,NAIROBI,3,25,0,0
2024-11-09,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,112.0,10.0,1,0,101,42,55.0,Unilever Kenya,nairobi,3,35,0,1
2024-01-09,PRD011,ORS Sachets x6,rehydration,Pharmacy,Pack,26.0,12.0,0,0,14,35,60.0,Dawa Ltd,nairobi,2,50,0,0
2024-02-22,PRD002,Pembe Unga 1kg,Flour & Grains,Mini Supermarket,BAG,28.0,6.0,2,0,20,78,95.0,Unga Ltd Nairobi,nairobi,3,25,0,0
2025-07-31,PRD012,Dettol Antiseptic 100ml,Antiseptics,Pharmacy,Bottle,110.0,27.0,2,13,94,145,200.0,Reckitt Kenya,NAIROBI,3,20,0,0
10-01-2024,PRD013,Malaria RDT Kit,Diagnostics,Pharmacy,PCS,98.0,35.0,3,37,79,120,200.0,Medipharm Ltd,Nairobi ,4,25,0,0
02/04/2026,PRD018,Drenching Gun Dewormer,Veterinary,Agrovet,Bottle,9.0,8.0,3,0,0,480,650.0,Interchemie Kenya,nairobi,4,8,0,0
2024-05-12,PRD012,  Dettol Antiseptic 100ml  ,Antiseptics,Pharmacy,Bottle,26.0,3.0,2,0,21,145,200.0,Reckitt Kenya,NAIROBI,3,20,0,1
2024-05-31,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,PCS,97.0,18.0,0,0,79,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
2026-04-30,PRD002,Pembe Unga 1kg,Flour & Grains,Mini Supermarket,Bags,64.0,31.0,3,0,30,78,95.0,Unga Ltd Nairobi,NAIROBI,3,25,0,0
2026-04-14,PRD001,Unga Jogoo 2kg,Flour & Grains,Mini Supermarket,bag,69.0,24.0,2,0,43,145,175.0,Unga Ltd Nairobi,Nairobi ,3,30,0,0
2025-02-22,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,33.0,-32.0,3,0,0,55,70.0,Brookside Dairy Ltd,Kiambu ,2,40,0,1
2024-07-26,PRD017,Newcastle Vaccine 100dos,Veterinary,Agrovet,VIAL,39.0,26.0,0,0,13,250,400.0,Interchemie Kenya,Nairob,4,10,0,0
2025-12-15,PRD007,Omo Washing Powder 1kg,Detergents,Mini Supermarket,pack,,0.0,2,0,51,295,,Bidco Africa Mombasa Rd,Nairob,3,12,0,0
2025-10-23,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,41.0,39.0,3,0,0,380,650.0,,NAIROBI,2,10,0,0
2024-02-12,PRD015,CAN Fertiliser 50kg,Fertilisers,Agrovet,BAG,62.0,32.0,1,0,29,3200,3900.0,MEA Fertilisers,NAIROBI,7,5,0,0
2024-01-13,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,,26.0,1,0,91,42,55.0,Unilever Kenya,nairobi,3,35,0,1
2025-01-26,PRD019,  Infinix Charger 33W  ,Accessories,Electronics,PCS,94.0,25.0,3,0,66,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,1
2024-03-05,PRD010,Amoxicillin 250mg x6,Antibiotics,Pharmacy,Strips,43.0,10.0,1,0,32,55,90.0,Cosmos Pharmaceuticals,NAIROBI,3,40,0,0
2024-12-23,PRD013,Malaria RDT Kit,Diagnostics,Pharmcy,PCS,14.0,6.0,1,0,7,120,200.0,Medipharm Ltd,Nairobi ,4,25,0,0
2024-05-29,PRD006,  Salit Sugar 1kg  ,Sugar & Spices,Mini Sup.,Bag ,113.0,16.0,0,0,97,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,0
2026-04-18,PRD006,  Salit Sugar 1kg  ,Sugar & Spices,Mini Supermarket,Bag ,101.0,27.0,0,0,90,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,1
2025-07-07,PRD013,Malaria RDT Kit,Diagnostics,Pharmacy,PCS,5.0,1.0,2,0,-10,120,,,Nairobi ,4,25,0,0
2025-11-29,PRD012,  Dettol Antiseptic 100ml  ,Antiseptics,Pharmacy,Bottle,96.0,13.0,1,0,82,145,200.0,,NAIROBI,3,20,0,1
2026-03-04,PRD013,Malaria RDT Kit,Diagnostics,Pharmacy,PCS,41.0,37.0,2,0,2,120,200.0,Medipharm Ltd,Nairobi ,4,25,0,0
2024-12-08,PRD007,Omo Washing Powder 1kg,Detergents,MINI SUPERMARKET,pack,108.0,,0,0,77,295,398.25,Bidco Africa Mombasa Rd,Nairob,3,12,0,1
2024-09-20,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarket,Bag,110.0,20.0,2,53,141,135,160.0,   ,Kisumu,5,30,0,0
2024-03-01,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,72.0,23.0,3,0,46,42,55.0,Unilever Kenya,nairobi,3,35,0,0
2024-04-13,PRD016,Maize Seed 2kg,Seeds,Agrovet,PACK,106.0,25.0,2,0,79,380,520.0,Kenya Seed Company,Nakurru,5,15,0,1
2024-10-15,PRD018,Drenching Gun Dewormer,VETERINARY,Agrovet,Bottle,80.0,6.0,1,0,73,480,650.0,Interchemie Kenya,nairobi,4,8,0,0
2026-02-26,PRD018,Drenching Gun Dewormer,Veterinary,Agrovet,Bottle,26.0,2.0,1,62,85,480,650.0,Interchemie Kenya,nairobi,4,8,0,0
2025-05-04,PRD007,Omo Washing Powder 1kg,Detergents,Mini Supermarket,pack,8.0,7.0,2,0,0,295,398.25,Bidco Africa Mombasa Rd,Nairob,3,12,0,1
2025-06-30,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,85.0,-34.0,0,16,67,55,70.0,Brookside Dairy Ltd,Kiambu ,2,40,0,0
2024-04-28,PRD017,Newcastle Vaccine 100dos,Veterinary,Agrovet,VIAL,119.0,5.0,2,0,112,250,400.0,Interchemie Kenya,Nairob,4,10,0,1
2024-07-17,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarket,Bag ,67.0,30.0,1,28,64,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,0
2026-03-02,PRD005,Elianto Cooking Oil 1L,Oils & Fats,Mini Supermarket,btl,47.0,32.0,1,0,14,230,280.0,Kapa Oil Refineries,Nairobi,4,20,0,0
2025-12-23,PRD005,Elianto Cooking Oil 1L,Oils & Fats,Mini Supermarket,btl,66.0,12.0,2,0,52,230,280.0,Kapa Oil Refineries,Nairobi,4,20,0,0
2024-10-12,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,49.0,4.0,0,0,45,55,70.0,Brookside Dairy Ltd,Kiambu ,2,40,0,1
2024-06-16,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarket,Bag ,14.0,8.0,1,0,5,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,1
2024-03-23,PRD006,Salit Sugar 1kg,Sugar & Spices,MINI SUPERMARKET,Bag ,-103.0,20.0,1,0,82,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,1
2025-09-29,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,35.0,,1,21,20,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
02/01/2025,PRD014,DAP Fertiliser 50kg,Fertilisers,Agrovet,Bag,69.0,6.0,1,48,110,3800,4500.0,MEA Fertilisers,Nairob,7,5,0,0
2024-05-07,PRD014,DAP Fertiliser 50kg,Fertilisers,Agrovet,bag,9.0,9.0,1,0,0,3800,4500.0,MEA Fertilisers,Nairob,7,5,0,0
2025-03-18,PRD001,  Unga Jogoo 2kg  ,Flour & Grains,Mini Supermarket,bag,53.0,18.0,1,0,34,145,175.0,Unga Ltd Nairobi,,3,30,0,0
2024-03-09,PRD007,Omo Washing Powder 1kg,Detergents,Mini Supermarket,pack,29.0,11.0,2,64,80,295,398.25,   ,Nairob,3,12,0,1
2024-10-08,PRD020,Earphones Generic,Accessories,Electronics,piece,87.0,13.0,3,0,71,150,300.0,,NAIROBI,2,12,0,0
2025-07-05,PRD006,Salit Sugar 1kg,Sugar & Spices,Mini Supermarket,BAG,75.0,37.0,2,0,36,135,160.0,Mumias Sugar Distributor,Kisumu,5,30,0,1
2024-10-08,PRD015,CAN Fertiliser 50kg,Fertilisers,Agrovet,BAG,112.0,23.0,2,0,87,3200,3900.0,MEA Fertilisers,,7,5,0,0
2025-05-11,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,92.0,24.0,3,0,65,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,1
29-May-2024,PRD016,Maize Seed 2kg,Seeds,Agrovett,PACK,78.0,35.0,2,40,81,380,520.0,Kenya Seed Company,Nakurru,5,15,0,0
2024-06-24,PRD016,Maize Seed 2kg,Seeds,Agrovet,PACK,72.0,5.0,0,0,67,380,520.0,Kenya Seed Company,Nakurru,5,15,0,0
2026-02-02,PRD009,Paracetamol 500mg x10,Analgesics,Pharmacy,Strips,81.0,5.0,2,0,87,18,,Shelys Pharmaceuticals,Nairobi ,2,60,0,0
2025-08-20,PRD018,Drenching Gun Dewormer,Veterinary,Agrovet,Bottle,23.0,19.0,3,0,1,480,650.0,Interchemie Kenya,nairobi,4,8,0,0
2024-04-19,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,piece,107.0,25.0,2,0,80,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
2025-12-10,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,24.0,2.0,3,0,19,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2025-02-23,PRD004,KCC Butter 250g,Dairy,Mini Supermarket,PCS,112.0,36.0,2,0,74,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,1
2026-02-03,PRD007,Omo Washing Powder 1kg,Detergents,Mini Supermarket,pack,50.0,9.0,2,0,39,295,398.25,Bidco Africa Mombasa Rd,Nairob,3,12,0,0
2024-12-23,PRD004,KCC Butter 250g,DAIRY,Mini Supermarket,piece,87.0,2.0,1,10,75,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
2026-03-26,PRD004,  KCC Butter 250g  ,Dairy,Mini Supermarket,piece,28.0,21.0,3,0,4,210,260.0,Brookside Dairy Ltd,kiambu,2,15,0,0
2024-10-20,PRD011,ORS Sachets x6,Rehydration,Pharmacy,Pack,77.0,14.0,2,2,63,35,60.0,   ,nairobi,2,50,0,1
10/17/2024,PRD002,  Pembe Unga 1kg  ,Flour & Grains,mini supermarket,BAG,-83.0,32.0,2,0,49,78,95.0,Unga Ltd Nairobi,NAIROBI,3,25,0,0
2024-11-08,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,104.0,20.0,3,0,81,55,70.0,Brookside Dairy Ltd,Kiambu ,2,40,0,0
2024-09-23,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,14.0,1.0,0,30,43,42,1642.0064439108123,Unilever Kenya,nairobi,3,35,0,0
2025-03-20,PRD020,Earphones Generic,Accessories,Electronics,PCS,93.0,27.0,3,0,63,150,300.0,,NAIROBI,2,12,0,0
2024-08-31,PRD020,Earphones Generic,Accessories,Electronics,PCS,50.0,10.0,0,0,24,150,300.0,,NAIROBI,2,12,0,1
2025-04-30,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,22.0,,3,0,15,380,19405.530700764146,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2025-02-28,PRD010,Amoxicillin 250mg x6,Antibiotics,Pharmacy,Strips,,14.0,0,0,86,55,90.0,Cosmos Pharmaceuticals,NAIROBI,3,40,0,0
2024-07-03,PRD011,ORS Sachets x6,rehydration,Pharmacy,pck,30.0,-3.0,3,4,28,35,60.0,Dawa Ltd,nairobi,2,50,0,0
2025-07-28,PRD001,Unga Jogoo 2kg,Flour & Grains,Mini Supermarket,bag,19.0,14.0,2,68,71,145,175.0,Unga Ltd Nairobi,Nairobi ,3,30,0,0
2025-01-28,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,43.0,21.0,3,66,85,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2025-01-04,PRD015,CAN Fertiliser 50kg,Fertilisers,Agrovet,BAG,92.0,26.0,3,0,63,3200,3900.0,MEA Fertilisers,NAIROBI,7,5,0,1
2025-02-27,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,111.0,29.0,2,0,63,42,55.0,Unilever Kenya,nairobi,3,35,0,0
2024-06-19,PRD014,DAP Fertiliser 50kg,Fertilisers,Agrovet,bag,107.0,15.0,3,0,89,3800,4500.0,MEA Fertilisers,,7,5,0,0
2026-04-24,PRD019,Infinix Charger 33W,Accessories,Electronics,PCS,19.0,15.0,0,0,4,380,650.0,Luthuli Ave Wholesale,NAIROBI,2,10,0,0
2025-12-29,PRD008,Royco Mchuzi Mix 75g,Seasonings,Mini Supermarket,Pack,9.0,4.0,2,52,55,42,55.0,Unilever Kenya,nairobi,3,35,0,0
2025-04-11,PRD003,Brookside Milk 500ml,Dairy,Mini Supermarket,piece,86.0,4.0,1,0,81,55,70.0,,Kiambu ,2,40,0,0
2025-06-24,PRD002,Pembe Unga 1kg,Flour & Grains,Mini Supermarket,BAG,15.0,7.0,0,0,20,78,95.0,Unga Ltd Nairobi,NAIROBI,3,25,0,0
2024-12-09,PRD013,Malaria RDT Kit,diagnostics,Pharmacy,piece,45.0,5.0,0,30,70,120,200.0,Medipharm Ltd,Nairobi ,4,25,0,0
2025-02-26,PRD018,Drenching Gun Dewormer,Veterinary,Agrovet,Bottle,54.0,20.0,1,0,33,480,650.0,Interchemie Kenya,nairobi,4,8,0,0
